ICT;IKT
Information processing;Informationsverarbeitung
Integration of digital products;Integration digitaler Produkte
Interactive digital display design;Interaktives digitales Display-Design
Interactive material;Interaktives Material
Internet;Internet
The Internet: searching and interpreting;Internet: Suche und Auswertung
Internet searching;Internetrecherche
Internet service providers;Internet-Serviceprovider
Interoperabiloty;Interoperabilität
Interpret information;Interpretation von Informationen
Java;Java
JavaScript;JavaScript
jQuery;jQuery
Maps and plans;Karten und Pläne
Cataloguing;Katalogisierung
Labelling;Kennzeichnung
Classification;Klassifizierung
Combining software tools to produce a system;Kombination von Software-Tools zur Erstellung eines Systems
Communicating;Kommunikation
Communication;Kommunikation
Infrared communications;Kommunikation mit Infrarot
Communications & entertainment;Kommunikation und Unterhaltung
Communications issues;Kommunikationsprobleme
Communication Environments;Kommunikationsumgebung
Communicative competence;Kommunikative Kompetenz
Use text, tables, images and sound to develop ideas;Konzeption von Ideen mit Hilfe von Texten, Tabellen, Bildern und Tönen
Draft/manipulate information/data using ICT;Konzeption/Anpassung von Informationen/Daten unter Verwendung von IKT
Critical evaluation;Kritische Bewertung
Reviewing and reflecting critically on what people produce using ICT;Kritische Evaluierung und Reflexion der Ergebnisse, die von IKT-Nutzern produziert werden
Cryptography;Kryptologie
Future developments;Künftige Entwicklungen
Artificial intelligence;Künstliche Intelligenz
Laser printers;Laserdrucker
Disk drive/hard disk;Laufwerk / Festplatte
Teaching materials;Lehrmaterialien
Reading for information;Lesen von Informationen
Local Area Network;Local Area Network (LAN)
Local data collection & holding;Lokale Datensammlung
Malware;Malware
Low level languages;maschinenorientierte Programmiersprachen
Machine language;Maschinensprache
Mass media;Massenmedien
Awareness-raising activities;Maßnahmen zur Bewusstseinsbildung
Media literacy;Mediale Bildung
Media;Medien
Media library;Medienbibliothek
Media education;Medienerziehung
Character;Merkmal
MIDI hardware;MIDI-Hardware
Misuse of data;Missbrauch von Daten
Mnemonics;Mnemotechnik
Multimedia;Multimedia
Network;Netzwerk
New technologies & tools;Neue Technologien & Tools
Latest digital products;Neueste digitale Güter
Newsletter, poster, flyer production;Newsletter, Flyer, Flyerproduktion
Numerical notation;Numerische Notation
Using applications;Nutzung von Anwendungen
