Linear Equation;Lineaarvõrrandid
Linear equations system;Lineaarvõrrandite süsteem
Linear Inequality;Lineaarvõrratus
Logarithmic function;Logaritmiline funktsioon
Logic;Loogika
Logic and Foundations;Loogika ja põhjendamine
Domain and range;Määramispiirkond ja vahemik
Mathematical Economics;Majandusmatemaatika
Maxima and minima;Maksimaalne ja minimaalne
Protractor;Mall
Template;Mall
Game Theory;Mänguteooria
Scale factor;Mastaabikordaja
Mathematics;Matemaatika
Mathematics for Humanities;Matemaatika humanitaaraladel
Mathematics for Social Sciences - Software;Matemaatika sotsiaalteadustes - tarkvara
Mathematical Biology;Matemaatiline bioloogia
Mathematical Physics;Matemaatiline füüsika
Function Plotter;Matemaatiliste funktsioonide graafiku joonistaja
Median-number;Mediaanarv
Meridian;Meridiaan
Nonlinear model;Mittelineaarne mudel
Modal class;Modaalklass
Mode;Mood
Bias;Moonutus
Measurement;Mõõtmine
Fraction;Murd
Patterns and Sequences;Mustrid ja jadad
Variable;Muutuja
Natural number;Naturaalarv
Concave Function;Nõgus funktsioon
Numbers and Computation;Numbrid ja arvutamine
Numerical Analysis;Numbriline analüüs
Numerical Differentiation;Numbriline diferentseerimine
Numerical Integration;Numbriline integratsioon
Ratio of numbers;Numbrite suhe
Graduated ruler;Nummerdatud joonlaud
Tangent of angle;Nurga tangens
Formula for angle;Nurga valem
Set square;Nurkjoonlaud
ordinal numbers;Ordinaalarv
Direct Proof;Otsene tõestus
Parabola;Parabool
Equation of a parabola;Parabooli võrrand
Parallel projection;Paralleelprojektsioon
Reflection;Peegeldus
Permutations;Permutatsioon
Perspective projection;Perspektiivprojektsioon
Continuous random variable;Pidev juhuslik muutuja
Continuity and discontinuity;Pidevus ja katkevus
Orthogonal projection of solid;Pindade ristprojektsioon
Formula for area;Pindala valem
Platonic solid;Platoonilised kehad
Polar Coordinates;Polaarkoordinaadid
Polynomial graph;Polünoomne graafik
Polynomial Inequality;Polünoomsed võrrandid
Revolution Solid;Pöördkeha
RevolutionSolid;Pöördkeha
Inverse proportionality function;Pöördvõrdelisuse funktsioon
Rotation;Pööre
Simple calculation of volume;Primitiivide ruumala arvutamine
Prism;Prisma
Problems from other subjects;Probleemid teistest valdkondadest
Programmable Calculator;Programmeeritav kalkulaator
Projection;Projektsioon
Percentage;Protsent
Coordinates of a point;Punkti koordinaadid
Reflection in a point;Punkti peegeldus
x coordinate of point;Punkti x-koordinaat
y-coordinate of point;Punkti y-koordinaat
Pyramid;Püramiid
Right-Prism;Püstprisma
Right parallelepiped;Püströöptahukas
Tree diagram;Puudiagramm
Applied Mathematics;Rakendus-matemaatika
Rational Number;Rationaalarv
Rational Number;Ratsionaalarv
