Africa;Aafrika
Information transmission, analogue and digital signals;informatsiooni üleanne, analoogid ja digitaalsed signaalid
Infrared;infrapuna
Human health: teeth;Inimese tervis: hambad
Human health: smoking;Inimese tervis: suitsetamine
Humans and animals;Inimesed ja loomad
Human patterns;inimeste käitumismustrid
Human influences on ecosystems;inimeste mõju ökosüsteemidele
Human processes;inimeste protsessid
Insulin;insuliin
Ionic bonds;ioonsidemed
Isothermal;isotermiline
Isovolumetric ;isovolumeetriline
Waste management ;jäätmekäitlus
Rigid body;jäik keha
Lake ;järv
Rivers;jõed
Drinking water;joogivesi
Forces and motion;Jõud ja liikumine
Combining forces;jõudude ühendamine
Conduction, convection and evaporation;juhtivus, konvektsioon ja aurustumine
Root hair;juurekarvad
Mains electricity - generally;kaablite elekter – üldiselt
Mains electricity safety;kaablite elektri ohutus
Weight;kaal
Maps & plans;kaardid ja plaanid
Atlases;kaardikogud
Mining;kaevandamine
Mining ;kaevandamine
Amphibian;kahepaikne
Conservation and dissipation;kaitse ja hajumine
Fish ;kala
Fishery;kalandus
Calorimeters ;kalorimeeter
cartography;kartograafia
Useful materials and products;Kasulikud materjalid ja tooted
Greenhouse effect ;kasvuhoone efekt
Catalysts;katalüsaatorid
Catastrophe ;katastroof
Goods & services;kaubad ja teenused
Remote Laboratories;kauglaboratooriumid
Tongue;keel
Chemical Reactions;Keemia reaktsioonid
Chemical Kinetics;keemiline kineetika
Chemical Thermodynamics;keemiline termodünaamika
Chemical changes;keemilised muutused
Kepler's laws;Kepleri seadus
Ceramics production;keraamika tootmine
Globes;kerad
Globular clusters;kerasparved
Environment;keskkond
Environment ;Keskkond
Environmental issues;keskkonna küsimused
Environmental Education;Keskkonnaharidus
Environmental education ;keskkonnaharidus
Environmental protection;Keskkonnakaitse
Environmental protection ;keskkonnakaitse
Central field;keskmine ala
stratum;kiht
Accelerators;kiirendi
Accelerators & beams ;kiirendid ja kiired
Acceleration;kiirendus
Radiation;kiirgus
Radiation transfer;kiirguse ülekanne
Velocity;kiirus
Kinetic energy;kineetiline energia
Writing ad press;kirjutamine ja ajakirjandus
Fossil fuels;kivimite kütused
Fossil resources - generally;kivimite ressursid – üldiselt
Rock types;kivimite tüübid
Useful substances from rocks & minerals;kivimitest ja mineraalides sisalduvad kasulikud ained 
Useful substances from rocks and minerals;Kivimitest ja mineraalidest saadud kasulikud ained
Fossil record;kivistis
Glass production;klaasi tootmine
Classification/keys;klassifikatsioonid/võtmed
Climate;kliima
Climate ;Kliima
Climatic phenomenon ;kliima fenomen
Climatic influences on ecosystems;kliima mõju ökosüsteemidele
Cloning, selective breeding and genetic engineering;kloonimine, selektiivne aretus ja geenitehnoloogia
Domestic animal;koduloom
Domestic appliances;kodused seaded
Tissues;koed
Local scale;kohalik skaala
Sound ;kõla
Collision;kollisioon
Comets and meteors;komeedid ja meteoriidid
Conservative force field;konservatiivne jõuväli
Coordinates;koordinaadid
Desert ;kõrb
High Energy Physics;Kõrge energia füüsika
Irregular galaxy;korrapäratu galaktika
The ear;kõrv
Extraterrestrial life;kosmiline elu
Cosmic background radiation;kosmiline taustkiirgus
Cosmic rays;kosmilised valgusvihud
Cosmology;kosmoloogia
Space ships;kosmoselaevad
Space flight;kosmoselend
Covalent bonds;kovalentsed sidemed
Crater;kraater
Chromatography;kromatograafia
Chromosomes;kromosoomid
Kuiper belt objects;Kuiperi vöö
Coulomb law;Kuloni seadus
Moon;Kuu
Phases of the Moon;kuufaasid
Hearing - generally;kuulamine – üldiselt
Hearing: noise;kuulamine: müra
Audible ranges;kuuldavad vahemikud
Lunar eclipse;kuuvarjutus
Quantum Chemistry;kvantkeemia
Quarks & hadrons ;kvargid ja hadronid
Quasars;kvasarid
Laboratory glassware;laboratooriumi klaasnõud
Laboratory measuring instruments, including sensors and meters;laboratooriumi mõõduvahendid, sisaldades sensoreid ja mõõtjaid
Laboratory equipment – generally;laboratooriumi varustus – üldiselt
Deposition;ladestumine
Charge;laeng
Charged particle acceleration ;laetud osakeste kiirendi
Solubility;lahustuvus
Wave characteristics - generally;laine iseloom – üldiselt
Wave frequency;laine sagedus
Wave amplitude;laine ulatus
Waves;Lained
Wave speed;lainekiirus
Wavelength;lainepikkus
Nitrogenous fertilizers;lämmastikväetis
Alkali metals;leelismetallid
Leaf;leht
Leptons ;leptonid
Flower;lill
Bird;lind
Milky Way;linnutee
Tides;looded
Natural phenomenon ;looduslik nähtus
Natural resources;looduslikud ressursid
Natural resources ;looduslikud ressursid
Natural resources ;Loodusressursid
Animal;loom
Lorentz force;Lorentzi jõud
South & Central America;Lõuna - ja Kesk-Ameerika
Meadow;luht
Luminescent;luminestseeriv
Earth;Maa
Near-earth objects;Maa lähedal asuvad objektid
exploration of the earth ;Maa uurimine
Land use;maakasutus
Rural settlements;maakohtade asustus
Landscape;maastik
Earth science;Maateadus
Earthquakes;maavärinad
Mountain;mägi
Mountain ;mägi
Magnetic force;magnetiline jõud
Magnetic field;magnetiline väli
Magnetic materials;magnetilised materjalid
Magnetism - generally;magnetism – üldiselt
Stomach;magu
Liver;maks
Stomach acid and bile;maohape ja sapp
Machines;masinad
Mass;mass
Mass;mass
Mass loss;massi kadu
Conservation of mass;massi säilitamine
Centre of mass;massikese
Material Science;materiaalne teadus
Grouping materials;materjalide grupeerimine
Obtaining and using materials;Materjalide kättesaamine ja kasutamine
Properties of materials;materjalide seaded
Maxwell's equations;Maxwelli võrrand
Speed in media;meedia kiirus
Senses;meeled
Meiosis;meioos
Menstrual cycle;menstruatsioonitsükkel
Nautical tools;merenduse vahendid
Sea ;meri
Metals - generally;metallid – üldiselt
Metals – generally;metallid – üldiselt
Metal complexes;metallide liidud
Metal processing;metallide töötlemine
Extraction of metal from ore;metallist maagi eraldamine
Meteor;meteoor
Meteorite;meteoriit
Meteorology ;meteoroloogia
Forest ;mets
Forestry;metsandus
wild animal ;metsloomad
Migration;migratsioon
Microbiology ;mikrobioloogia
Microlensing effect;mikrofokusseerimise efekt
Microwaves;mikrolained
Micro-organism ;mikroorganism
Microscope;mikroskoop
Mineral ;mineraal
Minerals;mineraalid
Mineralogy ;mineroloogia
Mitosis;mitoos
Inelastic collision;mitteelastne kollisioon
Molecules – generally;molekulid – üldiselt
Moments;momendid
Monohybrid inheritance;monohübriidne pärilikkus
Formation;moodustumine
Ova;munarakk
Noise ;müra
Puberty/adolescence;murdeiga / noorukiiga
Weathering;murenemine
Muscles;musklid
Dark matter;must mass
Dark matter ;must mass
Black holes;mustad augud
Musical instruments;muusika instrumendid
Variable stars;muuttähed
Invariant mass ;muutumatu mass
Variation – generally;Muutused – üldiselt
Changes in distribution of economic activity & their impact;muutused ökonoomilise aktiivsuse levikus ja mõjus
Environmental causes of variation;Muutused, mis tulenevad keskkonnast
Genetic causes of variation and mutation;Muutuste ja mutatsiooni geneetilised põhjused
Integumentary System;naha ja limaskestade süsteem
Visible light;nähtav valgus
Nanotechnology;nanotehnoloogia
Nerve;närvid
Nervous system ;närvisüsteem
Cape;neem
Neutron stars;neutrontähed
Newton's laws;Newtoni seadus
Weak interactions: electroweak ;nõrgad vastastikused mõjud: elektronõrk
Weak interactions: quarks & leptons;nõrgad vastastikused mõjud: kvargid ja leptonid
Angular acceleration;nurkkiirendus
Angular velocity;nurkkiirus
Fieldwork equipment;objektitöö varustus
Observatories;observatooriumid
air ;õhk
Hazards & human responses;ohud ja inimeste reageerimine ohtudele
Hazards/geomorphological;ohud/geomorfoloogilised
Endangered species ;ohustatud liigid
Air resistance;õhutakistus
Flowering plants/parts of plants;õistaimed / taimede osad
Oceania;Okeaania
Ecology;Ökoloogia
Ecology ;ökoloogia
Classifications of economic activity;ökonoomilise aktiivsuse klassifikatsioonid
Types of economic activity;ökonoomilise aktiivsuse tüübid
Ecosystem ;ökosüsteem
Ecosystems;ökosüsteemid
Oxidation and reaction;oksüdatsioon ja reaktsioon
Oil ;õli
Online Laboratories;online laboratooriumid
Ocean ;ookean
Optics;optika
Orbit;orbiit
Space stations;orbitaaljaamad
Organic Biology;orgaaniline bioloogia
Organic chemistry;Orgaaniline keemia
Organic Agriculture;orgaaniline põllumajandus
Organic Reaction;orgaaniline reaktsioon
Organic Polymers;orgaanilised polümeerid
Organs;organid
Particle interactions with matter ;osaeste suhe ainega
Particle detectors ;osakeste andurid
Particle dynamics ;osakeste dünaamika
Particle beam parameters ;osakeste kiirte parameetrid
Particle cosmology ;osakeste kosmoloogia
Particle theory;osakeste teooria
Coupled Motion dynamics ;paarisliikumise dünaamika
Paper production;paberi tootmine
Sun;Päike
Solar activity;päikese aktiivsus
Solar-terrestrial relations;Päikese ja kosmose suhe
Sunspots;päikeselaigud
Solar system;päikesesüsteem
Extrasolar planets;päikesesüsteemi välised planeedid
Solar eclipse;päikesevarjutus
Palaeontology ;paleontoloogia
Reproduction;paljundamine
Pancreas;pankreas
Escape velocity;paokiirgus
Parallel circuits;paralleelsed vooluringid
Parasite;parasiit
Inheritance - generally;Pärilikkus- üldiselt
Inherited diseases;pärilikud haigused
Galaxy clusters;parved galaktikas
Reflection;peegeldus
Pendulum;pendel
Period;periood
Periodic table;perioodilisuse tabel
Longitudinal waves;pikilained
Surface;pind
Voltage;pinge
Landforms;pinnamoodustised
Soil influences on ecosystems;pinnase mõju ökosüsteemidele
Planets;planeedid
Planetary nebula;planetaarne udukogu
Plastics/polymers;plastik / polümeerid
Main sequence;põhijada
North America;Põhja-Ameerika
Burning;põlemine
Half-life;pooldumisaeg
Rotation curve;pöörlemiskõver
Population & resources;populatsioon ja allikad
Population distribution;populatsiooni jaotus
Population change;populatsiooni muutus
Potential;potentsiaal
Potential energy;potentsiaalne energia
Lifecycle of products;produktide elutsükkel
Projection;projektsioon
Brown dwarfs;pruun kääbustäht
Wood production;puidu tootmine
Wood ;puit
Pulsars;pulsarid
Redshift;punanihe
Insect;putukas
Tree;puu
Fruit;puuvili
QCD, jets & gluons ;QCD, jetid ja gluonsid
Radio waves;raadiolained
Radioactivity;Radioaktiivsus
Uses of radioactivity, including radioactive dating;radioaktiivsuse kasutusviisid, sisaldades radioaktiivset dateerimist
