16th c. Music;16. saj muusika
Music and Media;Muusika ja meedia
Music as a performance art;Muusika kui esitluskunst
Recalling music: aural memory;muusika mäletamine: kuulmismälu
Music recording;muusika salvestamine
Music Software;muusika tarkvara
Music editing;muusika toimetamine
Music genres;Muusika žanrid
Music History;Muusikaajalugu
Musical elements & devices;muusikaelemendid ja seadmed
Musical instruments / Human voice;Muusikainstrumendid / Inimese hääl
Music School;muusikakool
Music Education;Muusikaline haridus
Music Psychology;muusikaline psühholoogia
Music Therapy;muusikaline teraapia
Musical expression;muusikaline väljend
Music Videoconference Loop;muusikalise videokonverentsi tsükkel
Musical features;Muusikalised omadused
Musical stimuli;muusikalised stiimulid
Four Seasons;Neli aastaaega
Nocturne;nokturn
Note values;noodi väärtused
Sheet Music;noodilehed
Notation Software;noodistiku tarkvara
Clef ;noodivõti
Note;noot
Oboe;oboe
Octave;oktav
Octet ;oktett
Online performance ;online esitlus
Opera;ooper
Oratorio;oratoorium
Organ;orel
Orchestra ;orkester
Orchestration ;orkestratsioon
Paganini;Paganini
Palestrina;Palestrina
Score;partituur
Rest;paus
Major;peamine
Major chord;peamine akord
Major and Minor 7ths;peamine ja vähetähtis 7
Major Scale;peamine skaala
Major Triads;peamised triaadid
Pentatonic Scale;pentatooniline skaala
Polka ;polka
Polyphony;Polüfoonia
Pop – Rock Music;popmuusika
Practising;praktiseerimine
Prelude ;prelüüd
Pronomos;Pronomos
Psychoacoustics;psühhoakustika
Puccini;Puccini
Winds;Puhkpillid
Dotted Note ;puntiga noot
Dotted Rest;puntiga siestuskoht
Purcell;Purcell
Pythagoras;Pythagoras
Rachmaninoff;Rachmaninoff
Rameau;Rameau
Rhapsody ;rapsoodia
Ravel;Ravel
Re;re
Responding & reviewing;reageerimine ja ülevaatamine
Reflective composing;reflektiivne komponeerimine
Reicha;Reicha
Relative Minor & major ;relatiivne vähemus
The Renaissance;Renessanss
Romantic Period;Romantiline periood
Rossini ;Rossini
Beat ;rütm
Cadence;rütm
Rhythm ;rütm
Rhythm (duration), pulse/beat;rütm (kestvus), pulss / rütm
Frequency;sagedus
Saint Romanos the Melodist;Saint Romanos the Melodist
Saint Saens;Saint Saens
Saxophone;saksofon
Salieri;Salieri
Recorder;salvestaja
Recorded performance;salvestatud esitlus
Schoenberg;Schoenberg
Schubert;Schubert
Schumann;Schumann
Scriabin;Scriabin
Serialism;Serialism
Si;si
Sibelius;Sibelius
Tie ;siduma
Waveforms;signaalikujud
Cymbal;simbel
Internalising sounds;sisendatud helid
Scale ;skaala
Skalkotas;Skalkotas
Sol;sol
Sonata ;sonaat
Lyrics;sõnad
Recital ;soolokontsert
Snare Drum;soolotrumm
Soprano;sopran
Sociomusicology;sotsiomusikoloogia
Staccato ;staccato
Stamitz;Stamitz
Strauss;Strauss
Structure: form;struktuur / kuju
Symphony ;sümfoonia
Symphonic Music;sümfooniline muusika
Symphonic Poem;Sümfooniline poeem
Synthesizer;süntesaator
Synthesizer / Electric Piano;süntesaator / elektriklaver
Sus2 and sus4 Chords;Sus2 ja sus4 akordid
Harmonica;suupill
Invert Triads;tagurpidi triaadid
Timbre ;tämber
Tambourine;tamburiin
Music of the present;tänapäeva muusika
Street music;tänavamuusika
Background Music;taustamuusika
Tchaikovsky;Tchaikovsky
Appraising, responding & reviewing;Teatamine, vastamine ja ülevaatus
Theatre;teater
Theatre Music;teatri muusika
Range of activities;tegevuste nimekiri
Music from other places/cultures;teiste riikide/kultuuride muusika
Music from other traditions;teiste traditsioonide muusika
Performing with others;teistega koos esinemine
Telemann;Telemann
Tempo;tempo
Tenoro;tenor
Whole;tervik
Whole rest;terviknoodi sisestus
Whole Tone Scale;terviknoodi skaala
Whole note ;terviknoot
Timpani;timpan
Tonality;Tonaalsus
Tonality ;tonaalsus
Tonality/harmony;tonaalsus / harmoonia
Tonic ;toonik
Double Bass;topeltbass
Bagpipes;torupill
Traditional Music;traditsiooniline muusika
Triangle;triangel
Trio ;trio
Trombone;tromboon
Trumpet;trompet
Troubadours and trouvères;Trubatuurid
Cello;tšello
Ceremony;tseremoonia
Space ;tühik
Tuba;tuuba
Ukulele;ukulele
General MIDI;üldine MIDI
General styles & traditions;Üldised stiilid ja traditsioonid
Diminished and Augmented Triads;vähendatud ja kasvatatud triaadid
Minor;väikseim
Minim note;väikseim noot
Minim rest;väikseim paus
Minor Scale;väikseim skaala
Minor Triads;väikseim triaad
Expression Marks;väljendite märgid
Loudspeaker;valjuhääldaja
Music of the past;vana aja muusika
Early Romantic era;Vararomantiline ajastu
Quarter note;veerandiknoot
Crotchet rest;veerandnoodi sisestuskoht
Crotchet;veerandnoot
Verdi;Verdi
Circle of Fifths;viiendik ring
Violin;viiul
Viola;vioola
Vivaldi;Vivaldi
Vocal Music;vokaalmuusika
Streaming ;voogesitus
Key Signature;võtme märgid
Table of Key Signature;võtmemärkide tabel
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis

