Working independently;iseseisvalt töötamine
Impact of IT on communications;IT infovahenduse mõju
Using IT safely;IT turvaline kasutamine
Share ideas;jaga ideid
Sequencing;järgnevuste loomine
Collate, analyse & evaluate information/data using ICT;järjesta, analüüsi, hinda informatsiooni / andmete kasutamine IKTs
Java;Java
JavaScript;JavaScript
Maps and plans;kaardid ja plaanid
Character;karakter
Benefits & problems of data collection;kasud ja andmete kogumise probleemid
Benefits & problems;kasum ja probleemid
Use text, tables, images and sound to develop ideas;kasuta teksti, tabeleid, pilte ja heli, et ideid luua
Cataloguing;kataloogimine
Draft/manipulate information/data using ICT;Kavand / manipuleeriv informatsioon / IKT andmete kasutamine
Language;keel
Disk drive/hard disk;kettadraiv / kõvaketas
Classification;klassifikatsioon
Keyboard Mouse;klaviatuuri hiir
Customer service;klienditeenindus
Coding;kodeerimine
Local data collection & holding;kohalike andmete kollektsioon ja säilitamine
Local Area Network;kohtvõrk
Communications & entertainment;Kommunikatsioon ja meelelahutus
Confidentiality issues;konfidentsiaalsed küsimused
Contextualised use of text/image processing;kontekstis vaadeldud teksti kasutus / pilditöötlus
Controlling;kontrollimine
Control technology;kontrollimise tehnoloogia
Control concepts;Kontrollivad mõisted
Assembler;koostaja
Collaboration;koostöö tegemine
High level programming languages;kõrge tasemega programmeerimiskeeled
Critical evaluation;Kriitiline hindamine
Cryptography;krüptograafia
Cyberbullying;küberkiusamine
Asking questions & querying data;küsimuste küsimine ja andmete kogumine
Quality & accuracy;kvaliteet ja täpsus
Wide Area Network;laia ala võrgustik
Laser printers;laserprinter
Lexis;leksika
Access Control;ligipääsu kontroll
Access Control List;ligipääsu kontrolli nimekiri
Access Rights;ligipääsu õigused
Simple networking;lihtne võrgustiku loomine
Linked databases & database structures;lingitud andmebaasid ja andmebaaside struktuur
Augmented Reality;lisatud reaalsus
Low level languages;madala tasemega keeled
Tape-recorders;magnetofon
Memory;mälu
Mnemonics;mäluline
Games & gaming machines;mängud ja mängude masinad
Machine language;masinakeel
Mass media;massimeedia
Media;Meedia
Media literacy;meedia kirjaoskus
Media education;meediaharidus
Media library;meediakogu
MIDI hardware;MIDI riistvara
Modelling;modelleerimine
Concept keyboard;mõistete klaviatuur
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;mõistmine, et informatsioon peab olema analüüsitud ja hinnatud eesmärgi, autori, käibivuse ja konteksti mõttes
Presenting measured data;mõõdetud andmete esitamine
Multimedia;multimeedia
Patterns;mustrid
Number conversion;muutmiste arv
Numerical notation;numbriline esitus
Safe searching;ohutu otsing
Online identity;online identiteet
Operating system;operatsioonisüsteem
Teaching materials;õppematerjalid
Search;otsing
Search techniques;otsingu tehnikad
Malicious code;pahatahtlik kood
Malware;pahavara
Correction;parandus
Use of queries, forms, reports, macros;päringute kasutamine, vormid, raportid, makrod
Password security;parooli turvalisus
PHP;PHP
Limitations/advantages;piirangud / eelised
Images;pildid
Using images & text;piltide kasutamine ja tekst
Creating & editing images;piltide loomine ja muutmine
Planning;planeerimine
Podcast;podcast
Basic computer usage and possibilities;põhiline arvutikasutus ja võimalused
Basic computer concepts;põhilised arvuti mõisted
Presentation;Presentatsioon
Printer;printer
Privacy and personal information;privaatsus ja personaalne informatsioon
Problem solving;probleemi lahendamine
Programm;programm
Programming;programmeerimine
Programming language;programmeerimiskeel
Programmable toy;programmeeritav mänguasi
Procedures/macros/templates;protseduurid / makrod / mallid
Processor;protsessor
Pseudocode;pseudokood
Understanding of audience;publiku mõistmine
Library;raamatukogu
Using applications;rakenduste kasutamine
Spam;rämpspost
Advertising;reklaam
Hardware;Riistvara
Recognising issues of risk, safety and responsibility surrounding the use of ICT;riski ära tundmine, ohutus ja vastutus IKT kasutamisel
Robotics;robootika
Maintaining;säilitamine
Screencast;screencast
Security for Electronic Transaction - SET;Security for Electronic Transaction – SET
Still images - generally;seisvad pildid – üldiselt
Still images: bitmap graphics;seisvad pildid: bitmap graafikud
Still images: graphs;seisvad pildid: graafikud
Still images: pictograms;seisvad pildid: piktogrammid
Still images: vector graphics;seisvad pildid: vektori graafikud
Semantics;semantika
Sensors & software Appropriate/not appropriate;sensorid ja tarkvara  sobiv/mittesobiv
Labelling;sildistamine
Simulating;simuleerima
Input;sisend
Input & output devices;sisendi ja väljundi seaded
Appropriate/not appropriate;sobiv / mittesobiv
Word processing software;sõnade töötlemise tarkvara
Vocabulary;sõnaraamat
Dictionary;sõnaraamatud
Social networking;sotsiaalne võrgustik
Specification;spetsifikatsioon
Relationships & rules;suhted ja seadused
Communicative competence;suhtlemise kompetentsus
Communicating;suhtlus
Communication;suhtlus
Communications issues;suhtluse küsimused
Communicative competence;suhtlusoskused
Syntax;süntaks
Systems;Süsteemid
Systems in context;süsteemid kontekstis
Structure of systems;süsteemide struktuur
Feedback/responding to data;tagasiside / andmetele vastamine
Storage devices;talletamise seaded
Retrieving information that has been stored;talletatud info välja otsimine
Understanding of hardware and software;tark- ja riistvara mõistmine
