application/base64
application/binary
application/java
application/macbinhex40
application/msexcel
application/msword
application/ogg
application/pdf
application/postscript
application/ppt
application/rtf
application/uue
application/x-compressed
application/x-gzip-compressed
application/x-pn-realmedia
application/x-shockwave-flash
application/x-stuffit
application/x-zip-compressed
application/zip
audio/basic
audio/midi
audio/mp3
audio/mpeg
audio/x-pn-realaudio
audio/x-pn-realaudio-plugin
audio/x-wav
image/bmp
image/gif
image/jpeg
image/png
image/tiff
image/x-wmf
model/vrml
text/html
text/plain
text/richtext
text/xml
video/avi
video/mpeg
video/x-pn-realvideo
video/x-pn-realvideo-plugin
video/quicktime
