Mathematics;Matematika
Cardinal number;Kardinalus skiačius
Cartesian coordinates;Kartezinės koordinatės
Cumulative frequency diagram;Kaupiamaojo dažnio diagrama
Cumulative frequency;Kaupiamasis dažnis
Cumulative frequency diagram;Kaupiamojo dažnio schema
ordinal numbers;Kelintiniai skaičiai
Ordinal numbers;Kelintiniai skaitvardžiai
Table with several columns;Kelių skilčių lentelė
Tetrahedron;Ketù
Tetrahedron;Ketursienis
Solid objects;Kieti kūnai
Solid objects;Kietieji kūnai
RevolutionSolid;Kietojo kūno revoliucija
Variable;Kintamasis
Variability;Kintamumas
Variability measure;Kintamumo apskaičiavimas
Fallacy;Klaida
Error in a plot;Klaida plote
Quotient;Koeficientas
Combinations;Kombinacija
Combinations;Kombinacijos
Combinatorics;Kombinatorika
Compass;Kompasas
Mathematics for Computer;Kompiuterija ir matematika
Computer Arithmetic;Kompiuterinė aritmetika
Conformal Mappings;Konforminiai žemėlapiai
Coordinates;Koordinatės
Cardinality;Kordinalumas
Cosine;Kosinusas
Equation of curve;Kreivės lygtis
Cube;Kubas
Cuboid;Kuboidas
Conic Section;Kūgio pjūvis
Cone;Kūgis
Revolution Solid;Kūno kitimas
Set square;Kvadratas
Quadratic function;Kvadratinė funkcija
Quadratic Equation;Kvadratinė lygtis
Quadratic Inequality;Kvadratinė nelygybė
Square root;Kvadratinė šaknis
Quartile;Kvartilis
Laplace rule;Laplaso taisyklė
Table;Lentelė
Table with several columns;Lentelė su keletu skilčių
Remainder;Liekana
Line chart;Linijinė diagrama
Linear function;Linijinė funkcija
Linear expression;Linijinė išraiška
Linear Equation;Linijinė lygtis
Linear Inequality;Linijinė neligybė
Linear Inequality With One Variable;Linijinė neligybė su vienu kintamuoju
Linear Rational Function;Linijinė racionali funkcija
Linear problems;Linijiniai uždaviniai
Linear model;Linijinis modelis
Linear equations system;Linijinių lygčių sistema
Ruler;Liniuotė
Logarithmic function;Logaritminė funkcija
Logic;Logika
Logic and Foundations;Logika ir pagrindai
Local and global description of a plot;Lokalus ir bendras ploto apibrėžimai
System of equations;Lygčių sistema
System of equations;Lygčių sistemos
Solutions of Equations;Lygčių sprendimai
Solutions of Equations;Lygčų sprendimai
Congruences;Lyginiai
Equations;Lygtys
Equality;Lygybė
Maxima and minima;Maksimumas ir minimumas
Measurement;Matavimai
Mathematics for Social Sciences - Software;Matematika socialiniams mokslams -  programinė įranga
Protractor;Matlankis
Reduction;Mažinimas
Meridian;Meridianas
Modal class;Modalinė klasė
Patterns and Sequences;Modeliai ir sekos
Simulation;Modeliavimas
Natural number;Natūralusis skaičius
Nonlinear model;Nelinijinis modelis
Inequality;Nelygybė
Contingency table;Nenumatytų atvejų lentelė
Irrational Number;Neracionalus skaičius
Unbounded Operators;Neriboti operatoriai
Continuous random variable;Nuolatinis atsitiktinis kintamasis
Enlargement;Padidinimas
Bias;Paklaida
Simple calculation of volume;Paprastas apimties skaičiavimas
Simple event;Paprastas įvykis
Simple solid objects;Paprasti kietieji kūnai
Simple solid objects;Paprasti kūnai
Elementary plane geometry;Paprastos plokštumos geometrija
Parabola;Parabolė
Equation of a parabola;Parabolės lygtis
Parallel projection;Paraleli projekcija
Outlier;Pašalinis
Skewness;Pasvirimas
Ampliation;Pavyzdys
Sample;Pavyzdys
Sample space;Pavyzdžio erdvė
Perspective projection;Perspektyvi projekcija
Perspective projection;Perspektyvos projekcija
Pyramid;Piramidė
Primes;Pirminiai skaičiai
Distribution of primes;Pirminių skaičių pasiskirstymas
Platonic solid;Planoto kūnai
Platonic solid;Platono kūnas
Plane;Plokštuma
Plane in coordinate system;Plokštuma koordinačių sistemoje
Plane in coordinate system;Plokštumakoordinačių sistemoje
Circle of latitude;Plokštumos apskritimas
Construction of a plot;Plokštumos konstravimas
Equation of a plane;Plokštumos lygtis
Plots;Plotai
Formula for area;Ploto formulė
Function plot features;Ploto funkcijos
Error in a plot;Ploto klaida
Construction of a plot;Ploto konstravimas
Polar Coordinates;Polių koordinatės
Counterexample;Prešingas pavyzdys
Counterexample;Priešingas pavyzdys
Dependency relation;Priklausomybės santykis
Prism;Prizmė
Percentage;Procentas
Software Tools;Programinės įrangos įrankiai
Programmable Calculator;Programuojamas kalkuliatorius
Projection;Projekcija
Exponential function;Proporcingai didėjanti funkcija
Bisector-Plane;Pusiaukampinė plokštuma
Rational Function;Racionali funkcija
Rational Inequality;Racionali lygybė
Rational Inequality;Racionali nelygybė
Rational Number;Racionalus skaičius
Rational Number;Racionalusis skaičius
Real world problem;Realaus pasaulio uždaviniai
Real Analysis;Reali analizė
Real number;Realus skaičius
Table of values;Reikšmių lentelė
Recursion;Rekursija
Representativity;Reprezentatyvumas
Bounded operators;Riboti operatoriai
Sets and Set Operations;Rinkiniai ir rinkinių operacijos
Rotation;Rotacija
Template;Ruošinys
Template;Šablonas
Conditional probability;Sąlyginė tikimybė
Relative frequency;Sąlyginis dažnis
Relative frequency;Santykinis dažnis
Tree diagram;Schema su šakomis
Sector chart;Sektorių diagrama
Sphere;Sfera
Signal Analysis;Signalo analizė
Symbolic Expression;Simbolinė išraiška
Symbol;Simbolis
Symmetry plane;Simetrijos plokštuma
Simulation;Simuliacija
Sine;Sinusas
System with two equations and two unkonwns;Sistema su dviem lygtimis ir dviem nežinomaisiais
System with two equations and two unknowns;Sistemos su dviem lygtimis ir dviem nežinomaisiais
Solutions of Systems;Sistemų sprendimai
Numbers and Computation;Skaičiai ir skaičiavimai
Spreadsheet Software;Skaičiavimo programinė įranga
Numerical Analysis;Skaičių analizė
Ratio of numbers;Skaičių santykis
Number Concepts;Skaičių sąvokos
Number Theory;Skaičių teorija
Spreadsheet Software;Skaičiuoklės programinė įranga 
Number;Skaičius
Square Number;Skaičius kvadratu
Numerical Differentiation;Skaitinis diferencijavimas
Numerical Integration;Skaitinis integravimas
Cardinal number;Skaitvardžiai
Scale factor;Skalė
Scale factor;Skalės faktorius
Differential and Difference Equation;Skirtumas ir skirtumo lygtis
Pie chart;Skritulinė diagrama
Circle of latitude;Skritulio plokštuma
Incircle;Skritulio viduje
Circle;Skritulys 
Coloring Proof;Spalvinimo įrodymas
Equation of a spiral;Spiralės lygtis
Orthogonal projection;Stačiakampė projekcija
Orthogonal projection of solid;Stačiakampė projekcija
Standard deviation;Standartinis nuokrypis
Statistics;Statistika
Statistics and Probability;Statistika ir tikimybė
Statistical table;Statistikos lentelė
Summary statistics;Statistikos suvestinė
