Conic Section;Κωνική τομή
Cone;Κώνος
Error in a plot;Λάθος σε γράφημα
Logarithmic function;Λογαριθμική συνάρτηση
Logic;Λογική
Logic and Foundations;Λογική και θεμελιώσεις
Software;Λογισμικό
Spreadsheet Software;Λογισμικό Υπολογιστικών φύλλων 
Ratio of numbers;Λόγος αριθμών
Skewness;Λοξότητα
Solutions of Equations;Λύσεις εξισώσεων
Solutions of Systems;Λύσεις Συστημάτων
Engineering Mathematics;Μαθηματικά για μηχανικούς
Mathematical Economics;Μαθηματικά Οικονομικά
Mathematics for Computer Science;Μαθηματικά της Επιστήμης των Υπολογιστών
Mathematics for Humanities;Μαθηματικά των Ανθρωπιστικών Σπουδών
Mathematics for Social Sciences;Μαθηματικά των Κοινωνικών Σπουδών
Mathematical Biology;Μαθηματική Βιολογία
Mathematical Physics;Μαθηματική Φυσική
Enlargement;Μεγέθυνση
Maxima and minima;Μέγιστο και ελάχιστο
Methods of Proof;Μέθοδοι Απόδειξης
Reduction;Μείωση
Bias;Μεροληψία
Meridian;Μεσημβρινός
Mean;Μέσος
Mean variation ratio of a function in an interval;Μέσος λόγος απόκλισης μίας συνάρτησης σε ένα διάστημα
Variable;Μεταβλητή
Variability;Μεταβλητοτητα
Permutations;Μεταθέσεις
Integral Transforms;Μετασχηματισμοί ολοκληρωμάτων
Transformation;Μετασχηματισμός   
Polyhedron transformation;Μετασχηματισμός πολυέδρου
Translation;Μεταφορά
Measurement;Μέτρηση
Variability measure;Μέτρηση μεταβλητότητας
Case count;Μέτρηση περίπτωσης
Central tendency measure;Μέτρο κεντρικής τάσης
Nonlinear model;Μη-γραμμικό μοντέλο
Unbounded Operators;Μη-φραγμένοι τελεστές
Protractor;Μοιρογνωμόνιο
Patterns and Sequences;Μοτίβα και σειρές
Volume;Όγκος
Octahedron;Οκτάεδρο
Right parallelepiped;Ορθό παραλληλεπίπεδο
Right-Prism;Ορθό πρίσμα
Orthogonal projection;Ορθογωνική προβολή
Orthogonal projection of solid;Ορθογωνική προβολή στερεού
Parabola;Παραβολή
Scale factor;Παράγοντας κλίμακας
Factorization;Παραγοντοποίηση
Deductive method;Παραγωγική μέθοδος
Parallel projection;Παράλληλη προβολή
Polyhedron deformation;Παραμόρφωση πολυέδρου
Outlier;Παράτυπο σημείο
Interpolation;Παρεμβολή
Domain and range;Πεδίο ορισμού και σύνολο τιμών
Experiments;Πειράματα
Circumcircle;Περιγεγραμμένος κύκλος
Polyhedron truncating;Περικοπή πολυέδρου
Rotation;Περιστροφή
Quotient;Πηλίκο
Probability;Πιθανοτητα
Table;Πίνακας
Double entry table;Πίνακας διπλής εισόδου
Table with several columns;Πίνακας με διάφορες στήλες
Contingency table;Πίνακας συμπτώσεως
Table of values;Πίνακας τιμών
Platonic solid;Πλατωνικό στερεό
Cardinal number;Πληθικός αριθμός
Cardinality;Πληθικότητα
Polar Coordinates;Πολικές Συντεταγμένες
Multiple chart;Πολλαπλό γράφημα
