Music;Música
Diminished and Augmented Triads;Tríade Aumentada e Diminuta
Dissonant and Consonant Chords;Acordes Consonantes e Dissonantes
Do;Do
Dominant 7th's;Dominante de Sétima
Dotted Note ;Nota Pontuada
Dotted Rest;Pausa Pontuada
Double Accidental;Duplo Acidente
Duo;Duo
E;E
Eighth note  ;Colcheia
Eighth note rest;Pausa de Colcheia
Ensemble;Conjunto (Ensemble)
Expression Marks;Dinâmica Musical
F;F
Fa;Fa
Fugue;Fuga
Flat;Bemol
G;G
Harmonic Intervals;Intervalos Harmónicos
Hemidemisemiquaver ;Semifusa
Intervals;Intervalos
Invert Triads;Tríades Invertidas
Key Signature;Armação de Clave
La;La
Lyrics;Letra de Música
Major;Maior
Major and Minor 7ths;Maior e Menor de Sétima
Major chord;Acorde Maior
Major Scale;Escala Maior
Major Triads;Tríades Maiores
Melodic Intervals;Intervalos Melódicos
Melody ;Melodia
Measure;Compasso
Mi;Mi
Minim note;Mínima
Minim rest;Pausa de Mínima
Minor;Menor
Minor Scale;Escala Menor
Minor Triads;Tríades Menores
Musicology;Musicologia
Mute;Surdina
Natural;Natural
Nocturne;Nocturno
Notation ;Notação
Note;Nota
Note values;Duração das Notas
Octave;Oitava
Octet ;Octeto
Opera;Opera
Oratorio;Oratório
Orchestra ;Orquestra
Orchestration ;Orquestração
Pentatonic Scale;Escala Pentatónica
Pitch ;Altura
Polka ;Polka
Prelude ;Prelúdio
Presto ;Presto
Progression ;Progressão
Quarter note;Semínima
Quartet ;Quarteto
Quaver;Colcheia
Quaver rest;Pausa de Colcheia
Re;Re
Recital ;Recital
Relative Minor & major ;Maior e Menor Relativa
Repeat Sign;Sinal de Repetição
Rest;Pausa
Rhapsody ;Rapsódia
Rhythm ;Ritmo
Scale ;Escala
Score;Partitura
Semiquaver;Semicolcheia
Sharp;Sustenido
Sheet Music;Partitura
Si;Si
Sixteenth note;Semicolcheia
Sixth and Ninth Chords;Acordes de Sexta e Nona
Sixty-fourth note  ;Semifusa
Sixty-fourth note rest;Pausa de Semifusa
Sol;Sol
Song;Canção
Sonata ;Sonata
Space ;Música Ambiente
Staccato ;Staccato
Staff;Pauta
Sus2 and sus4 Chords;Acordes Suspensos de Segunda e Quarta
Symphony ;Sinfonia
Table of Key Signature;Tabela de Armação de Clave
Tempo;Tempo
Thirty-second note ;Fusa
Thirty-second note rest;Pausa de Fusa
Ti;Si
Tie ;Ligadura
Timbre ;Timbre
Time Signature;Tipo de Compasso
Tonality ;Tonalidade
Tonic ;Tónica
Treble ;Treble
Trio ;Trio
Triplet;Tercina
Tuning;Afinação
Voice;Voz
Whole;Semibreve
Whole note ;Nota Semibreve
Whole rest;Pausa de Semibreve
Whole Tone Scale;Escala hexafônica / Escala de Tons Inteiros
Musical features;Características Musicais
Musical elements & devices;Elementos & Dispositivos Musicais
Pitch/melody;Altura / Melodia
Structure: form;Estrutura: Forma
Rhythm (duration), pulse/beat;Ritmo (duração), pulso / batida
Tonality/harmony;Tonalidade / Harmonia
Instruments & performers;Instrumentos e artistas
Musical expression;Expressão Musical
Music and Science;Música e Ciência
Physics;Física
Waves;Ondas
Music and Physics;Música e Física
Pitch;Altura
Waveforms;Formas de onda
Harmonics;Harmónicos
Wave nodes;Nodos de Onda
Acoustics;Acústica
Frequency;Frequência
Sound spectrum;Espectro Sonoro
Instrument building / making;Construção de Instrumentos
Medicine, Psychology;Medicina, Psicologia
Psychoacoustics;Psicoacústica
Music Therapy;Musicoterapia
Music Psychology;Psicologia da Música
Linguistics;Linguística
Phonetics;Fonética
Phonology;Fonologia
Ethnomusicology;Etnomusicologia
Sociomusicology;Sociologia da Música
Music and Mathematics;Música e Matemática
Music and ICT;Música e TIC
Music and ICT hardware;Música e Hardware TIC
Dolby surround;Dolby surround
Synthesizer;Sintetizador
Loudspeaker;Altifalante
Earphones;Auscultadores
Sequencer;Sequenciador
Tape recording;Gravador
Digital Audio Recorder;Gravador Digigal de Audio
Microphone;Microfone
Music and ICT software;Música e Software TIC
Digital sound editing;Edição de Som Digital
MP3;MP3
WAV;WAV
Notation Software;Sofware de Notação Musical
Music recording;Gravação de Música
Music editing;Edição de Música
Track;Faixa
Streaming ;Streaming
Music and ICT terms;Música e Termos TIC
Online performance ;Desempenho Online
Digital sound recording;Gravação Digital
Music Videoconference Loop;Loop de Música em Videoconferência
Music Software;Software de Música
Music e-learning ;E-learning de Música
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I. (Musical Instrument Digital Interface)
General MIDI;General MIDI 
Sound oscillator / Envelope;Gerador ADSR
Sound recognition;Reconhecimento de Som
Sound analysis;Análise de Som
Computer-enhanced Music;Música Otimizada por Computador
Music analysis ;Análise de Música
Computer Music;Música de Computador
Sound retrieval;Sound Retrieval
