;;;Nocturne;
;;;Notation ;
;;;Note;
;;;Note values;
;;;Octave;
;;;Octet ;
;;;Opera;
;;;Oratorio;
;;;Orchestra ;
;;;Orchestration ;
;;;Pentatonic Scale;
;;;Pitch ;
;;;Polka ;
;;;Prelude ;
;;;Presto ;
;;;Progression ;
;;;Quarter note;
;;;Quartet ;
;;;Quaver;
;;;Quaver rest;
;;;Re;
;;;Recital ;
;;;Relative Minor & major ;
;;;Repeat Sign;
;;;Rest;
;;;Rhapsody ;
;;;Rhythm ;
;;;Scale ;
;;;Score;
;;;Semiquaver;
;;;Sharp;
;;;Sheet Music;
;;;Si;
;;;Sixteenth note;
;;;Sixth and Ninth Chords;
;;;Sixty-fourth note  ;
;;;Sixty-fourth note rest;
;;;Sol;
;;;Song;
;;;Sonata ;
;;;Space ;
;;;Staccato ;
;;;Staff;
;;;Sus2 and sus4 Chords;
;;;Symphony ;
;;;Table of Key Signature;
;;;Tempo;
;;;Thirty-second note ;
;;;Thirty-second note rest;
;;;Ti;
;;;Tie ;
;;;Timbre ;
;;;Time Signature;
;;;Tonality ;
;;;Tonic ;
;;;Treble ;
;;;Trio ;
;;;Triplet;
;;;Tuning;
;;;Voice;
;;;Whole;
;;;Whole note ;
;;;Whole rest;
;;;Whole Tone Scale;
;;Musical features;Musical elements & devices;
;;;Pitch/melody;
;;;Structure: form;
;;;Rhythm (duration), pulse/beat;
;;;Tonality/harmony;
;;;Instruments & performers;
;;;Musical expression;
;Music and Science;Physics;Waves;
;;;Music and Physics;
;;;Pitch;
;;;Waveforms;
;;;Harmonics;
;;;Wave nodes;
;;;Acoustics;
;;;Frequency;
;;;Sound spectrum;
;;;Instrument building / making;
;;Medicine, Psychology;Psychoacoustics;
;;;Music Therapy;
;;;Music Psychology;
;;;Linguistics;Phonetics
;;;;Phonology
;;Musicology;Ethnomusicology;
;;;Sociomusicology;
;;;Music and Mathematics;
;Music and ICT;Music and ICT hardware;Dolby surround;
;;;Synthesizer;
;;;Loudspeaker;
;;;Earphones;
;;;Sequencer;
;;;Tape recording;
;;;Digital Audio Recorder;
;;;Microphone;
;;Music and ICT software;Digital sound editing;
;;;MP3;
;;;WAV;
;;;Notation Software;
;;;Music recording;
;;;Music editing;
;;;Track;
;;;Streaming ;
;;Music and ICT terms;Online performance ;
;;;Digital sound recording;
;;;Music Videoconference Loop;
;;;Music Software;
;;;Music e-learning ;
;;;M.I.D.I (Musical Instrument Digital Interface);
;;;General MIDI;
;;;Sound oscillator / Envelope;
;;;Sound recognition;
;;;Sound analysis;
;;;Computer-enhanced Music;
;;;Music analysis ;
;;;Computer Music;
;;;Sound retrieval;
