ICT;Communications & entertainment;Advertising;
;ICT opportunities;Collaboration;
;;Collate, analyse & evaluate information/data using ICT;
;;Combining software tools to produce a system;
;;Computer literacy;
;;Digital citizens;
;;Digital literacy;
;;Draft/manipulate information/data using ICT;
;;Information literacy;
;;Interpret information;
;;Media literacy;
;;Online identity;
;;Present work effectively;
;;Record information/data using ICT;
;;Research a problem using ICT;
;;Select from and add to information for particular purposes;
;;Share ideas;
;;Use text, tables, images and sound to develop ideas;
;;Working independently;
;Technology;Artificial intelligence;
;;Robotics;
;;Automation;
;;Biotechnology;
;;Computer science;
;;Control technology;
;;Design;
;;Engineering;
;;Security technology;
;;History of technology;
;;Technological change;
;;Technological education;
;;Virtual reality;
;;Augmented Reality;
