Linked databases & database structures;Kytketyt tietokannat & tietokantarakenteet
Wide Area Network;Laaja verkko (WAN)
Quality & accuracy;Laatu & virheettömyys
Reference material;Lähdeaineisto
Hardware;Laitteisto
Understanding of hardware and software;Laitteistojen ja ohjelmistojen ymmärtäminen
Local Area Network;LAN-verkko
Laser printers;Laserprintterit
liquid crystal display panels;LCD-näytöt
Disk drive/hard disk;Levyasema/kiintolevy
Floppy Drive;Levykeasema
Augmented Reality;Lisätty todellisuus
Cataloguing;Luettelointi
Classification;Luokittelu
Confidentiality issues;Luottamuksellisuus
Advertising;Mainonta
Modelling;Mallinnus
Low level languages;Matalan abstraktiotason kielet
Media education;Mediakasvatus
Media library;Mediakirjasto
Media literacy;Medialukutaito
Labelling;Merkintä
MIDI hardware;MIDI-laitteisto
What if scenarios, ICT in action;Mitä jos -skenaariot, ICT toiminnassa
Presenting measured data;Mitatun datan esittäminen
Mnemonics;Mnemoniset symbolit
Working with mobile technology;Mobiilitekniikan parissa työskentely
Memory;Muisti
Multimedia;Multimedia
Keyboard Mouse;Näppäimistöhiiri
Tape-recorders;Nauhurit
Screen;Näyttöruutu
Cyberbullying;Nettikiusaaminen
Numerical notation;Numeerinen merkintätapa
Number conversion;Numeromuunnokset
Numbers;Numerot
Controlling;Ohjaus
Control concepts;Ohjauskäsitteitä
Control technology;Ohjaustekniikka
Instructions;Ohjeet
Software;Ohjelmisto 
Developments in software & hardware & their impact;Ohjelmistojen & laitteistojen kehitys & sen vaikutukset
Combining software tools to produce a system;Ohjelmistotyökalujen yhdistely järjestelmän aikaansaamiseksi
Programming;Ohjelmointi
Programming language;Ohjelmointikieli
Programmable toy;Ohjelmoitava lelu
Research a problem using ICT;Ongelman tutkiminen ICT:n avulla
Teaching materials;Opetusmateriaali
Access Control;Pääsynvalvonta
Access Control List;Pääsynvalvontalista
Access Rights;Pääsyoikeudet
Local data collection & holding;Paikallinen tiedonkeräys & säilytys
Everyday use;Päivittäinen käyttö
Feedback/responding to data;Palaute/dataan reagointi
Games & gaming machines;Pelit & pelikoneet
PHP;PHP
Gadgets;Pienlaitteet
Podcast;Podcast
Reflecting on ICT in society;Pohdintaa ICT:n asemasta yhteiskunnassa
