Music;Ceol
Skalkotas;Skalkotas
Mitropoulos;Mitropoulos
Callas;Callas
Serialism;Srathachas
Modernism;Nuaaoiseachas
Xenakis;Xenakis
Notation / Music Theory / Harmony/Musical Morphology;Nodaireacht/Teoiric an Cheoil/Armóin/Moirfeolaíocht Ceolmhar
A;A
B;B
Bar  ;Barr
Beat ;Buille
C;C
Cadence;Dúnadh
Chamber Music ;Ceol Airgeail
Choir;Cóir
Chord;Corda
Chromatic Scale;Scála Crómatach
Circle of Fifths;Ciorcal na gCúigeach
Clef ;Eochair
Contrapunto;Frith-punto
Crotchet;Cróisín
Crotchet rest;Soscroisín
D;D
Demisemiquaver;Leith-leathchamán
Demisemiquaver rest;Sos Leith-leathchamán
Diminished and Augmented Triads;Tríchordaí-laghdaithe agus treise
Dissonant and Consonant Chords;Cordaí díshondacha agus comhshondacha
Do;Do
Dominant 7th's;Na Seachtaigh Ceannasacha
Dotted Note ;Nóta Poncaithe
Dotted Rest;Sos Poncaithe
Double Accidental;Seaachtrán Dúbailte
Duo;Diséad
E;E
Eighth note  ;An t-ochú nóta
Eighth note rest;Sos an ochtú nóta
Ensemble;Ensemble
Expression Marks;Iúl-Mharcanna
F;F
Fa;Fa
Fugue;Fiúga
Flat;Maol
G;G
Harmonic Intervals;Idirchéimeanna armónacha
Hemidemisemiquaver ;Camán-heimea/deimea/leath
Intervals;Idirchéimeanna
Invert Triads;Tríchordaí iompaithe
Key Signature;Gléaschomhartha
La;La
Lyrics;Liricí
Major;Mórghleas
Major and Minor 7ths;Mion/Mór  Seachtaigh
Major chord;Mórchorda
Major Scale;Mórscála
Major Triads;Mór Tríchordaí
Melodic Intervals;Sosanna Séiseacha
Melody ;Séis
Measure;Toise
Mi;Mi
Minim note;Nóta minim
Minim rest;Sos minim
Minor;Mion
Minor Scale;Mionscála
Minor Triads;Mion Tríchordaí
Musicology;Ceoleolaíocht
Mute;Maothadóir
Natural;Nadurtha
Nocturne;Nochtraí
Notation ;Nodaireacht
Note;Nóta
Note values;Luachanna  nóta
Octave;Ochtacht
Octet ;Ochtréad
Opera;Ceoldráma
Orchestra ;Ceolfhoireann
Orchestration ;Ceolfhoirmiú
Pentatonic Scale;Scála Peinteatonach
Pitch ;Airde
Polka ;Polca
Prelude ;Réamhdhréacht
Presto ;Presto
Progression ;Reimniú
Quarter note;Ceathrú nóta
Quartet ;Ceathairéad
Quaver;Ochtú nóta/camán
Quaver rest;Soschamán
Re;Re
Recital ;Ceadal
Relative Minor & major ;Mór agus Miom coibhneasta
Repeat Sign;Ath-rá comhartha
Rest;Sos
Rhapsody ;Rapsóid
Rhythm ;Rithim
Scale ;Scála
Score;Scór
