Music;Musique
Theatre Music;Musique de théâtre
Music from Europe;Musique d'Europe
Computer Music;Musique d'ordinateur
17th c. Music;Musique du 17ème siècle
18th c. Music;Musique du 18ème siècle
19th c. Music;Musique du 19ème siècle
20th c. Music (contemporary);Musique du 20ème siècle (contemporaine)
Music of the past;Musique du passé
Music of the present;Musique du présent
Electronic Music;Musique électronique
Music and ICT;Musique et ICT
Music and Mathematics;Musique et Mathématiques
Music and Media;Musique et Média
Jazz Music;Musique jazz
Pop – Rock Music;Musique pop-rock
Symphonic Music;Musique symphonique
Traditional Music;Musique traditionnelle 
Vocal Music;Musique vocale
Mussorgsky;Mussorgsky
Natural;Naturel
Nocturne;Nocturne
Wave nodes;Nœuds d'ondes
Crotchet;Noire
Notation ;Notation
Notation / Music Theory / Harmony/Musical Morphology;Notation/Théorie de la musique/Harmonie/Morphologie musicale
Note;Note
Whole note ;Note ronde
Expression Marks;Nuance
Octave;Octave
Octet ;Octuor
Waves;Ondes
Opera;Opéra
Oratorio;Oratorio
Orchestration ;Orchestration
Orchestra ;Orchestre
Organ;Orgue
Sound oscillator / Envelope;Oscillateur électronique
Paganini;Paganini
Palestrina;Palestrina
Lyrics;Paroles
Score;Partition
Sheet Music;Partition
Whole rest;Pause
Percussions;Percussions
Online performance ;Performance en ligne
Recorded performance;Performance enregistrée
Live performance;Performance live
Baroque Period;Période baroque
Classical Period;Période classique
Romantic Period;Période romantique
Late Romantic era;période romantique tardive
Phonetics;Phonétique
Phonology;Phonologie
Physics;Physique
Music and Physics;Physique et musique
Piano;Piano
Fortepiano / Pianoforte;Pianoforte
Symphonic Poem;Poème symphonique
Dotted Note ;Point de prolongation
Ti;Pointé
Polka ;Polka
Polyphony;Polyphonie
Staff;Portée
Treble ;Portées
Prelude ;Prélude
Presto ;Presto
Progression ;Progression
Pronomos;Pronomos
Psychoacoustics;Psychoacoustiques
Music Psychology;Psychologie musicale
Puccini;Puccini
Purcell;Purcell
Pythagoras;Pythagore
Hemidemisemiquaver ;Quadruple-croche
Sixty-fourth note  ;Quadruple-croche
Quarter note;Quart de ronde
Four Seasons;Quatre Saisons
Quartet ;Quatuor
String Quartet;Quatuor à cordes
Rachmaninoff;Rachmaninoff
Rameau;Rameau
Ravel;Ravel
D;Ré
Re;Ré
Recital ;Récital
Sound recognition;Reconnaissance de son
Reicha;Reicha
Relative Minor & major ;Relative mineure et majeure
